,trial_string,condition
54,cancer_20210313_slip4_area2_long_acq_corr_MCF10A_37deg_long_acq_blue_0.039_green_0.04734_1,MCF10A
55,cancer_20210313_slip4_area3_long_acq_corr_MCF10A_37deg_long_acq_blue_0.039_green_0.04734_1,MCF10A
56,cancer_20210313_slip6_area1_long_acq_MCF10A_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A
57,cancer_20210313_slip6_area2_long_acq_corr_MCF10A_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A
58,cancer_20210313_slip6_area3_long_acq_corr_MCF10A_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A
59,cancer_20210313_slip6_area4_long_acq_corr_MCF10A_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A
60,cancer_20210314_slip3_area1_long_acq_MCF10A_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A
61,cancer_20210314_slip3_area2_long_acq_corr_MCF10A_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A
62,cancer_20210314_slip3_area3_long_acq_corr_MCF10A_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A
63,cancer_20210314_slip5_area1_long_acq_MCF10A_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A
64,cancer_20210314_slip5_area2_long_acq_MCF10A_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A
65,cancer_20210314_slip5_area3_long_acq_MCF10A_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A
66,cancer_20210314_slip7_area2_long_acq_MCF10A_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A
67,cancer_20210314_slip7_area3_long_acq_MCF10A_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A
68,cancer_20210314_slip8_area1_long_acq_MCF10A_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A
69,cancer_20210314_slip8_area2_long_acq_MCF10A_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A
70,cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1,MCF10A_TGFB
71,cancer_20210122_slip1_area2_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1,MCF10A_TGFB
72,cancer_20210122_slip1_area3_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1,MCF10A_TGFB
73,cancer_20210122_slip2_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1,MCF10A_TGFB
74,cancer_20210122_slip2_area2_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1,MCF10A_TGFB
75,cancer_20210122_slip2_area3_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_2,MCF10A_TGFB
76,cancer_20210122_slip2_area4_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1,MCF10A_TGFB
77,cancer_20210122_slip3_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_2,MCF10A_TGFB
78,cancer_20210122_slip3_area3_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1,MCF10A_TGFB
79,cancer_20210122_slip4_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.0378_green_0.0791_1,MCF10A_TGFB
80,cancer_20210122_slip4_area2_long_acq_MCF10A_tgfbeta_long_acq_blue_0.0378_green_0.0791_2,MCF10A_TGFB
81,cancer_20210122_slip4_area3_long_acq_MCF10A_tgfbeta_long_acq_blue_0.0378_green_0.0791_2,MCF10A_TGFB
82,cancer_20210122_slip4_area4_long_acq_MCF10A_tgfbeta_long_acq_blue_0.0378_green_0.0791_1,MCF10A_TGFB
83,cancer_20210122_slip5_area2_long_acq_MCF10A_tgfbeta_long_acq_blue_0.0378_green_0.0791_1,MCF10A_TGFB
84,cancer_20210122_slip5_area4_long_acq_MCF10A_tgfbeta_long_acq_blue_0.0378_green_0.0791_1,MCF10A_TGFB
85,cancer_20210312_slip5_area1_long_acq_corr_corr_MCF10A_TGFB_36deg_long_acq_blue_0.0425_green_0.097_1,MCF10A_TGFB
86,cancer_20210312_slip5_area2_long_acq_corr_corr_MCF10A_TGFB_36deg_long_acq_blue_0.0425_green_0.097_1,MCF10A_TGFB
87,cancer_20210313_slip1_area1_long_acq_MCF10A_TGFB_37deg_long_acq_blue_0.0506_green_0.097_1,MCF10A_TGFB
88,cancer_20210313_slip1_area2_long_acq_MCF10A_TGFB_37deg_long_acq_blue_0.0506_green_0.097_1,MCF10A_TGFB
89,cancer_20210313_slip1_area3_long_acq_MCF10A_TGFB_37deg_long_acq_blue_0.0506_green_0.097_1,MCF10A_TGFB
90,cancer_20210313_slip3_area3_long_acq_MCF10A_TGFB_37deg_long_acq_blue_0.0311_green_0.0489_1,MCF10A_TGFB
91,cancer_20210313_slip5_area1_long_acq_MCF10A_TGFB_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A_TGFB
92,cancer_20210313_slip5_area2_long_acq_MCF10A_TGFB_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A_TGFB
93,cancer_20210313_slip7_area2_long_acq_MCF10A_TGFBETA_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A_TGFB
94,cancer_20210314_slip2_area3_long_acq_MCF10A_TGFB_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A_TGFB
95,cancer_20210314_slip4_area1_long_acq_MCF10A_TGFB_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A_TGFB
96,cancer_20210314_slip4_area2_long_acq_MCF10A_TGFB_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A_TGFB
97,cancer_20210314_slip4_area3_long_acq_MCF10A_TGFB_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A_TGFB
98,cancer_20210314_slip6_area1_long_acq_MCF10A_TGFB_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A_TGFB
99,cancer_20210314_slip6_area3_long_acq_MCF10A_TGFB_37deg_long_acq_blue_0.06681_green_0.07975_1,MCF10A_TGFB
